,latitude,longitude,title,content,image,image_desc
97,52.345927,4.904568,Delphi Tearoom,"<p><strong>Address</strong>: Dani&euml;l Willinkplein 1, Amsterdam.<sup data-footnote-id=""s1z2e""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>Delphi was a lunchroom and ice cream parlor that was only accessible to Jews from <strong>1941</strong>.<sup data-footnote-id=""vtup3""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup> Anne Frank went there with her friends for ice cream.<sup data-footnote-id=""vz62i""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup></p>

<p>On <strong>25 May 1936</strong>, the business was registered as a partnership between Hugo Rosenthal and Siegfried Wechsler. Rosenthal got out on <strong>3 November 1936</strong>; Wechsler on <strong>26 January&nbsp;1940</strong>. The new owner was Mozes Zilversmit. As part of the anti-Jewish measures, the case was closed on <strong>3 January&nbsp;1944</strong>.<sup data-footnote-id=""e8w3t""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup></p>

<p>The anti-Semitic magazine&nbsp;<em>De Misthoorn</em> wrote an article about Zilversmit and Delphi, stating how unpleasant it was &#39;to see all those stars licking ice&#39;.<sup data-footnote-id=""0b8ot""><a href=""#footnote-5"" id=""footnote-marker-5-1"" rel=""footnote"">[5]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""s1z2e"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Bianca Stigter, <em>Atlas van een bezette stad: Amsterdam 1940-1945</em>, Amsterdam: Atlas Contact, 2019, p. 439. After the war, Dani&euml;l Willinkplein was renamed Victorieplein.</cite></li>
	<li data-footnote-id=""vtup3"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite><em>Het Joodsche Weekblad,</em> 19 December 1941, p. 18.</cite></li>
	<li data-footnote-id=""vz62i"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>Anne Frank, Diary Version B, 20 June 1942 (2nd), in: <em>The Collected Works,&nbsp;</em>transl. from the Dutch by Susan Massotty, London [etc.]: Bloomsbury Continuum, 2019.</cite></li>
	<li data-footnote-id=""e8w3t"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>Noord-Hollands Archief, Haarlem, Handelsregister Amsterdam: Kamer van Koophandel Amsterdam (toegang 448), inv. nr. 1248, dossier 48365.</cite></li>
	<li data-footnote-id=""0b8ot"" id=""footnote-5""><sup><a href=""#footnote-marker-5-1"">^</a> </sup><cite>&quot;Joodsche viezigheden&quot;, <em>De Misthoorn</em>, 6 June 1942.</cite></li>
</ol>
</section>",https://research.annefrank.org/media/JW%2019%2012%201941%20-%20Delphi_2.JPG,"Advertentie in het Joodsch Weekblad, 19 december 1941"
35,52.11129,5.07941,Demka,"<p>Demka&nbsp;was the first steel producer in the Netherlands.<sup data-footnote-id=""ygo00""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""ygo00"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie&nbsp;<a href=""https://nl.wikipedia.org/wiki/Demka"">https://nl.wikipedia.org/wiki/Demka</a> (geraadpleegd 28 november 2023).</cite></li>
</ol>
</section>",https://research.annefrank.org/media/57852.jpg,De Muinck Keizer (Demka)
37,52.34499,4.89302,Diezeschool,,https://research.annefrank.org/media/A04139001095.jpg,"Schoolgebouwen aan de Dintelstraat, met in de linkervleugel  de Diezeschool op nummer 11"
38,40.72066,-73.63121,Doubleday and Company,,../images/unknown_place.png,Unknown Photo
40,51.5441,6.76418,Duisburg,"<p>In the early 1920s, Kugler worked in Duisburg as a mechanic at Deutsche Maschinenfabrik A.G. (Demag).</p>",../images/unknown_place.png,Unknown Photo
104,52.083,4.32546,Dutch Chamber of Commerce for Germany,<p>The economic crisis of the <strong>1930s</strong> and the National Socialist takeover in Germany in <strong>1933</strong> had not improved trade relations.</p>,../images/unknown_place.png,Unknown Photo
41,51.26755,7.1492,Elberfeld,,../images/unknown_place.png,Unknown Photo
42,52.375382,4.884107,Elhoek,"<p><strong>Address</strong>: Prinsengracht 261, Amsterdam.<sup data-footnote-id=""7qnl1""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>The company was located in the neighbouring building at Prinsengracht 263. Elhoek was also a leather goods manufacturer.<sup data-footnote-id=""uy155""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup> The name was a combination of the names of business partners Van Elburg and Hoekstra. The workshops were on the second and third floors. When the weather was nice, the staff sometimes ate on the roof at lunchtime. They sometimes heard voices and therefore knew that there were people in the Secret Annex. However, they did not realize that these were people in hiding and they thought that the part of the building belonged to the Keg Tea and Coffee company.<sup data-footnote-id=""oivs9""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup></p>

<p>Hendrik Johan van Elburg, one of the business partners,&nbsp;reported that intruders had stolen an amount of six hundred guilders and a typewriter from the company during the night of <strong>7-8 April&nbsp;1943</strong>.<sup data-footnote-id=""2z65d""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""7qnl1"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Stadsarchief Amsterdam (SAA), Bevolkingsregister, woningkaarten, inv. nr. 283: Woningkaart Prinsengracht 261. Referred to by Anne as <em>furniture-making shop</em>. Anne Frank, Diary Version B, 11 July 1942, in: <em>The Collected Works,&nbsp;</em>transl. from the Dutch by Susan Massotty, London [etc.]: Bloomsbury Continuum, 2019.</cite></li>
	<li data-footnote-id=""uy155"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>Rijksbureau voor Huiden en Leder, <em>Lijst met namen en adressen der bij het Rijksbureau voor Huiden en Leder ingeschreven (&hellip;)</em>, Doetinchem: Misset, 1941, p. 89.</cite></li>
	<li data-footnote-id=""oivs9"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>Anne Frank Stichting, Getuigenarchief, Pels, H.: Mededeling H. Pels, mei 1995.</cite></li>
	<li data-footnote-id=""2z65d"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>SAA, Gemeentepolitie Amsterdam, inv. nr. 7013: Rapport bureau Warmoesstraat, 8-9 april 1943, 17.18 uur.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
43,52.395712,4.908534,"Fokker, N.V. Dutch Aircraft Factory","<p><strong>Address</strong>: Papaverweg 31-33.<sup data-footnote-id=""6c6p2""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>Dutch aviation pioneer AnthonyFokker received major orders from the German army leadership after the outbreak of the First World War in <strong>1914</strong>. This allowed him to realize his plans for an aircraft factory. In <strong>1918</strong> he came to the Netherlands with supplies and inventory and established his company in Amsterdam-North.<sup data-footnote-id=""hlrdg""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup></p>

<p>During the Second World War, the factory was confiscated and used for the German war effort.<sup data-footnote-id=""92bg8""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup> Air raids in <strong>July 1943</strong> caused extensive damage to the factory, but especially to the surrounding residential areas. There were many casualties among the civilian population.<sup data-footnote-id=""ggpr5""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup>&nbsp;Anne Frank writes about this in her diary.<sup data-footnote-id=""yeo83""><a href=""#footnote-5"" id=""footnote-marker-5-1"" rel=""footnote"">[5]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""6c6p2"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite><em>Algemeen Adresboek voor de stad Amsterdam</em> 1938, p. 1358.</cite></li>
	<li data-footnote-id=""hlrdg"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>Rob Hartgers, &lsquo;Ondernemer Anthony Fokker&rsquo;, in: <em>Ons Amsterdam</em>, 58 (2006) 9 (september). Zie ook: <a href=""https://en.wikipedia.org/wiki/Anthony_Fokker"" target=""_blank"">https://en.wikipedia.org/wiki/Anthony_Fokker</a> (geraadpleegd 28 november 2023).</cite></li>
	<li data-footnote-id=""92bg8"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>Zie&nbsp;<a href=""https://en.wikipedia.org/wiki/Fokker"" target=""_blank"">https://en.wikipedia.org/wiki/Fokker</a> (geraadoleegd 28 november 2023).</cite></li>
	<li data-footnote-id=""ggpr5"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>J.L. van der Pauw, <em>De bombardementen op Amsterdam-Noord. Juli 1943, </em>Amsterdam: Boom, 2009; Bianca Stigter, <em>Atlas van een bezette stad: Amsterdam 1940-1945</em>, Amsterdam: Atlas Contact, 2019, p. 264-265.</cite></li>
	<li data-footnote-id=""yeo83"" id=""footnote-5""><sup><a href=""#footnote-marker-5-1"">^</a> </sup><cite>Anne Frank, Diary Version B, 19 and 26 July 1944, in: <em>The Collected Works,&nbsp;</em>transl. from the Dutch by Susan Massotty, London [etc.]: Bloomsbury Continuum, 2019.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
154,50.11827,8.65439,"Frank family address - Dantestrasse 4, Frankfurt am Main","<p>From here Otto went to the Netherlands to establish the Opekta company, while the children stayed with their grandmother.<sup data-footnote-id=""l6qlw""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""l6qlw"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>J&uuml;rgen Steen, <a href=""https://www.frankfurt1933-1945.de/beitraege/einzelschicksale/beitrag/die-familie-anne-franks-von-der-ganghoferstrasse-in-die-emigration"">&#39;Die Familie Anne Franks: von der Ganghoferstra&szlig;e in die Emigration&#39;</a>,&nbsp;IfS, Frankfurt am Main 1933-1945 (geraadpleegd 12 januari 2024)</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
155,50.14541,8.66514,Frank family address - Ganghoferstrasse Frankfurt,"<p>When Edith Frank and Otto Frank moved to Ganghoferstrasse 24 in <strong>March 1931</strong>, the family&#39;s economic situation had deteriorated. Late <strong>December 1932</strong>, Otto Frank gave notice of cancelling the lease on Ganghoferstrasse as of <strong>31 March 1933</strong> &quot;as a result of the changed economic circumstances&quot;, as stated in the surviving termination letter. The family moved&nbsp;to an apartment in the house built by Otto Frank&#39;s parents near Beethovenplatz in Westend, where Otto&#39;s mother lives and where Otto Frank grew up.<sup data-footnote-id=""9h8gp""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>A memorial plaque commemorates Anne Frank&#39;s stay at the Ganghoferstra&szlig;e&nbsp;address,<sup data-footnote-id=""f3393""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup> as well as a memorial installation at Dornbusch subway station.<sup data-footnote-id=""b1hp7""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""9h8gp"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>J&uuml;rgen Steen, <a href=""https://www.frankfurt1933-1945.de/beitraege/einzelschicksale/beitrag/die-familie-anne-franks-von-der-ganghoferstrasse-in-die-emigration"">&#39;Die Familie Anne Franks: von der Ganghoferstra&szlig;e in die Emigration&#39;</a>,&nbsp;Institut f&uuml;r Stadtgeschichte (IfS), Frankfurt am Main 1933-1945 (geraadpleegd 12 januari 2024).</cite></li>
	<li data-footnote-id=""f3393"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>IfS, Frankfurt am Main 1933-1945,&nbsp;<a href=""https://www.frankfurt1933-1945.de/index/orte/ort/gedenktafel-fuer-anne-frank-ganghoferstrasse-24"" target=""_blank"">Gedenktafel f&uuml;r Anne Frank, Ganghoferstra&szlig;e 24</a> (geraadpleegd 12 januari 2024).&nbsp;</cite></li>
	<li data-footnote-id=""b1hp7"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>IfS, Frankfurt am Main 1933-1945,&nbsp;<a href=""https://www.frankfurt1933-1945.de/beitraege/gedenktafeln-und-gedenkplastiken-fuer-verfolgte-personen-und-vereinzelte-helfer/beitrag/anne-frank-gedenkwand/"">Anne Frank-Gedenkwand</a> (geraadpleegd 12 januari 2024).</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
156,50.140214,8.676671,"Frank family address - Marbachweg, Frankfurt","<p>It seems like an ideal environment for children to grow up in, in which Margot and Anne, born in <strong>June 1929</strong>, played with children from socially and religiously different families. A particularly warm friendship developed with neighbor Gertrud Naumann, the eldest daughter of a Catholic family. But due to the anti-Semitic hostilities of landlord Otto K&ouml;nitzer, who lived on the ground floor, and passing SA troops, the Frank family moved in <strong>March 1931</strong> to Ganghoferstrasse in the Poet&#39;s Quarter, which was characterized by a bourgeois-liberal character.<sup data-footnote-id=""v29um""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>A memorial column, designed by artist Bernd Fischer, marks the Frank family&#39;s home on Marbachweg.<sup data-footnote-id=""bgopd""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""v29um"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie J&uuml;rgen Steen, <a href=""https://www.frankfurt1933-1945.de/beitraege/einzelschicksale/beitrag/die-familie-anne-franks-der-marbachweg-als-erwuenschte-kinderwelt/"">&#39;Die Familie Anne Franks: der Marbachweg als erw&uuml;nschte Kinderwelt&#39;</a>, Institut f&uuml;r Stadtgeschichte, Frankfurt am Main 1933-1945 (geraadpleegd 12 januari 2024).</cite></li>
	<li data-footnote-id=""bgopd"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>Bernd Fischer, <a href=""https://berndfischer.com/gestaltungsauftraege/gedenktafeln/anne-frank-stele-am-marbachweg/"">Gedenkstele zur Erinnerung an die im Marbachweg 307 geborene Anne Frank</a>, (geraadpleegd 12 januari 2024).</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
45,49.19922,8.11228,Frank-Loebsche-Haus,"<p>The building dates from the 15th century and functioned as an inn from <strong>1601</strong>. The inn, called Zur Blum, was run by the related Kempff, Stiehler, Geropp and Schneider families until well into the 19th century. In <strong>1870</strong>, owner Georg Friedrich Schneider sold the building to banker Zacharias Frank for 16,000 guilders. The three-storey building included a house with three cellars, three stables, a courtyard, a well, a barrel store, several ovens and four trumeau mirrors.<sup data-footnote-id=""tpzv2""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup> After the death of Zacharias Frank on <strong>27 July 1884</strong>, the estate passed to his widow Babette as the sole heir.</p>

<p>Following Babette Frank&#39;s death on <strong>10 October 1891</strong>, the surviving children became owners of the house, but only daughter Sophie, the widow of Landau banker Leo Loeb, still lived in her birthplace. Michael Frank, one of her brothers, was a banker in Frankfurt. His son Otto was&nbsp;Anne Frank&#39;s father.</p>

<p>​In <strong>1901</strong>, the property became the exclusive property of Sophie Loeb. Her daughter Olga inherited the building in <strong>1927</strong>, but after she fled to Luxembourg in the late <strong>1930s</strong> to escape persecution by the Nazis,<sup data-footnote-id=""v824e""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup>&nbsp;the city council negotiated about the purchase of the historically significant building, but subsequently decided no to go through with it. A forced auction also ultimately did not take place.</p>

<p>During the war, the house in Kaufhausgasse functioned as one of the three infamous &quot;Jew houses&quot;&nbsp;in Landau, where Jews still living in Landau were put up. On <strong>22 October&nbsp;1940</strong>, the 23 Jews living there were deported to Gurs, a French internment camp, and from there to Auschwitz and Theresienstadt in <strong>1942</strong>.</p>

<p>Following the years after Olga Loeb&#39;s death on <strong>15 September 1946</strong>, the estate was repeatedly offered for sale to the city. As early as <strong>1951</strong>, the National Office for the Conservation of Monuments financed urgent repair and restoration work, and in <strong>September 1959</strong>, the house became the property of the city. However, plans to rename the building &quot;Anne Frank House&quot; and to establish a&nbsp;regional museum and&nbsp;documentation center on the history of the Jewish community of Landau in the building were not realized.</p>

<p>On <strong>25 April&nbsp;1980</strong>, the residents of Landau founded an &quot;Association of Friends of the Frank Loebschen House&quot;, which arranged for the renovation and financing of the house and in <strong>September 1983</strong> extensive restoration and extension work began. As of <strong>1987</strong>, the building has been used as a cultural center and exhibition space<sup data-footnote-id=""0ocs3""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup> and since <strong>2003</strong> a permanent exhibition on the history of the Jews in Landau has been set up here.<sup data-footnote-id=""9jrah""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""tpzv2"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Voor de geschiedenis van het Frank-Loebsche-Haus, zie Edith Vierling, <em>Das Frank-Loeb&#39;sche Haus zu Landau in der Pfalz</em>, M&uuml;nchen: GRIN, 2009</cite></li>
	<li data-footnote-id=""v824e"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>Van daaruit werd ze op 6 april 1943 naar Theresienstadt gedeporteerd. Ze overleefde het en keerde terug naar Luxemburg.</cite></li>
	<li data-footnote-id=""0ocs3"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>Kulturzentrum Altstadt, <a href=""https://kulturzentrum-altstadt.de/?page_id=203"" target=""_blank"">Frank-Loebsches Haus</a> (geraadpleegd 24 januari 2024).</cite></li>
	<li data-footnote-id=""9jrah"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite>Stadt Landau in der Pfalz, <a href=""https://www.landau.de/Leben-Wohnen/Stadtportrait/Stadtgeschichte/Geschichte-der-Juden-in-Landau/"" target=""_blank"">Dauerausstellung: Juden in Landau. Vom Mittelalter bis zum Holocaust</a> (geraadpleegd 24 januari 2024).&nbsp;</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
44,50.115763,8.681774,Frankfurt am Main,"<p>In terms of population, Frankfurt am Main is the fifth largest city in Germany. Frankfurt was granted the status of <em>Freie Reichsstadt</em> in the Middle Ages. From <strong>1816</strong> to <strong>1866</strong>, Frankfurt was the seat of the <em>Deutsche Bund</em>; after annexation, the city became part of Prussia. After World War I, the city developed rapidly, especially in cultural and urban planning terms.<sup data-footnote-id=""6p9va""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<p>Otto Frank&#39;s maternal family had been resident in Frankfurt from the early sixteenth century.<sup data-footnote-id=""jxnp3""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup> Otto&#39;s father Michael Frank built up a banking business in the city. From the <strong>later 1920</strong>s, due to the presence of the stock exchange and many banks, Frankfurter B&ouml;rsenplatz was a popular rally site for the emerging National Socialists. On <strong>1 May 1932</strong>, there was a rally at which a harsh tone was struck against the <em>Finanzjudentums</em>.<sup data-footnote-id=""qsivs""><a href=""#footnote-3"" id=""footnote-marker-3-1"" rel=""footnote"">[3]</a></sup></p>

<p><strong>In late March 1933,</strong> the mayor decided to dismiss all Jews from municipal service.<sup data-footnote-id=""boeos""><a href=""#footnote-4"" id=""footnote-marker-4-1"" rel=""footnote"">[4]</a></sup> <strong>In early April 1933,</strong> interventions by the new regime expelled 15 Jewish brokers from the Frankfurt stock exchange.<sup data-footnote-id=""79eka""><a href=""#footnote-5"" id=""footnote-marker-5-1"" rel=""footnote"">[5]</a></sup> Frankfurt University stripped a large number of Jewish professors and private lecturers of teaching qualifications, including the obstetrician Marcel Traugott (who attended the births of Anne and Margot).<sup data-footnote-id=""su29f""><a href=""#footnote-6"" id=""footnote-marker-6-1"" rel=""footnote"">[6]</a></sup></p>

<p>More than 11,000 Jewish residents were expelled and/or murdered during the National Socialist period. At the end of World War II, air raids destroyed a very large part of the city.<sup data-footnote-id=""6p9va""><a href=""#footnote-1"" id=""footnote-marker-1-2"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""6p9va"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">a</a>, <a href=""#footnote-marker-1-2"">b</a> </sup><cite>Zie <a href=""https://de.wikipedia.org/wiki/Frankfurt_am_Main"" target=""_blank"">https://de.wikipedia.org/wiki/Frankfurt_am_Main</a> (geraadpleegd 23 maart 2012).</cite></li>
	<li data-footnote-id=""jxnp3"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite>J&uuml;rgen Steen &amp; Wolf von Wolzogen, <em>Anne aus Frankfurt. Leben und Lebenswelt Anne Franks, </em>Frankfurt am Main:&nbsp;Historisches Museum, 1990, p. 12.</cite></li>
	<li data-footnote-id=""qsivs"" id=""footnote-3""><sup><a href=""#footnote-marker-3-1"">^</a> </sup><cite>Steen &amp; von Wolzogen, <em>Anne aus Frankfurt</em>, p. 53.</cite></li>
	<li data-footnote-id=""boeos"" id=""footnote-4""><sup><a href=""#footnote-marker-4-1"">^</a> </sup><cite><em>Het Vaderland</em>, 29 maart 1933, avondeditie.</cite></li>
	<li data-footnote-id=""79eka"" id=""footnote-5""><sup><a href=""#footnote-marker-5-1"">^</a> </sup><cite><em>Nieuwsblad van het Noorden</em>, 3 april 1933.</cite></li>
	<li data-footnote-id=""su29f"" id=""footnote-6""><sup><a href=""#footnote-marker-6-1"">^</a> </sup><cite>&nbsp;<em>Klinische Wochenschrift</em>, 14 oktober 1933.</cite></li>
</ol>
</section>

<p>&nbsp;</p>",../images/unknown_place.png,Unknown Photo
175,52.50029,13.339574,Fritz Pfeffer's home in Berlin,"<p>To this day, the Passauerstra&szlig;e still has a special character due to the adjacent <em>Kaufhaus des Westens</em> (Department Store of the West: KaDeWe) and as a center of Jewish religion and culture. In the period before the Second World War it was also a center of modern literature and Russian life in exile.<sup data-footnote-id=""dhgbm""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup> Administratively, the street then belonged to three districts, namely Sch&ouml;neberg, Charlottenburg and Wilmersdorf.</p>

<p>A <em>Stolperstein</em> (stumbling stone) in front of Lietzenburger Stra&szlig;e 20b, then Passauerstra&szlig;e 33, commemorates Fritz Pfeffer&#39;s stay at this address.<sup data-footnote-id=""y0r0k""><a href=""#footnote-2"" id=""footnote-marker-2-1"" rel=""footnote"">[2]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""dhgbm"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie&nbsp;<a href=""https://de.wikipedia.org/wiki/Passauer_Straße_(Berlin)"" target=""_blank"">https://de.wikipedia.org/wiki/Passauer_Stra&szlig;e_(Berlin)</a> (geraadpleegd 10 januari 2024).</cite></li>
	<li data-footnote-id=""y0r0k"" id=""footnote-2""><sup><a href=""#footnote-marker-2-1"">^</a> </sup><cite><a href=""https://www.stolpersteine-berlin.de/de/lietzenburger-str/20-b/fritz-pfeffer"" target=""_blank"">Stolpersteine in Berling</a> (geraadpleegd 10 januari 2024).</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
174,52.345258,4.903872,Fritz Pfeffer's home | Daniël Willinkplein,,https://research.annefrank.org/media/SAA_OSIM00007005616.jpg,Daniel Willinkplein gezien vanaf de Wolkenkrabber naar het zuidoosten. Rechts nummer 23.
46,52.576976,8.005171,Gehrde,,../images/unknown_place.png,Unknown Photo
157,52.34601,4.90058,Geiringer family's address | Merwedeplein 46-I,"<p>After being separated for a while, the family was reunited here.<sup data-footnote-id=""yaafw""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""yaafw"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie Rian Verhoeven,&nbsp;<em>Anne Frank was niet alleen: het Merwedeplein, 1933-1945</em>, Amsterdam: Prometheus, 2019, p. 117.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
158,52.344165,4.863381,Goldschmidt family home,"<p>&nbsp;</p>

<div>
<div>&nbsp;</div>
</div>",../images/unknown_place.png,Unknown Photo
160,52.345366,4.901085,Goslar family home | Merwedeplein 31-I,"<p>There the Goslar family became friends with the Frank family.<sup data-footnote-id=""qvy1p""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup></p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""qvy1p"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Zie Rian Verhoeven, <em>Anne Frank was niet alleen: het Merwedeplein, 1933-1945</em>, Amsterdam: Prometheus, 2019, p. 33-35.</cite></li>
</ol>
</section>",../images/unknown_place.png,Unknown Photo
161,52.345393,4.902198,Goslar family home | Zuider Amstellaan 16,"<p>In the context of the construction of <em>Plan-Zuid</em>, the Amsterdam city council decided on <strong>March 22, 1923,</strong> to call this avenue the Zuider Amstellaan.<sup data-footnote-id=""k6ohl""><a href=""#footnote-1"" id=""footnote-marker-1-1"" rel=""footnote"">[1]</a></sup>&nbsp;Hanneli Goslar and Hello Silberberg, among others, lived on the Zuider Amstellaan.</p>

<p>On <strong>May 8, 1946</strong>, the name was changed to Rooseveltlaan, after American president F.D. Roosevelt.</p>

<section class=""footnotes"">
<header>
<h2>Footnotes</h2>
</header>

<ol>
	<li data-footnote-id=""k6ohl"" id=""footnote-1""><sup><a href=""#footnote-marker-1-1"">^</a> </sup><cite>Stadsarchief Amsterdam, Dienst Bevolkingsregister, Woningkaarten, inv. nr. 432,&nbsp;tabblad.</cite></li>
</ol>
</section>",https://research.annefrank.org/media/010163002293.jpg,"Wolkenkrabber met links de Zuider Amstellaan, rond 1940"
49,50.888743,5.980771,Grand Hotel Heerlen,,../images/unknown_place.png,Unknown Photo
